OBJECTID,NOMBRE_DEL,TITULAR,MUNICIPIO,PROVINCIA,UTM_X__Hus,UTM_Y__Hus,MEDIO_RECE,NATURALEZA,CARACT__DE,VOLUMEN__m,NATURALE_1
9,AYTO. LA ACEBEDA,AYUNTAMIENTO DE LA ACEBEDA,ACEBEDA (LA),MADRID,447641.00000000000,4548743.00000000000,ARROYO RIAJO,URBANO O ASIMILABLE,<2.000 h-e,2550.00000000000,CATEGORÍA I
10,"E.S. CTRA. M-404, KM 3,640 M.I. (ASEOS)","ESTACION DE SERVICIO EL ALAMO, S.L.",ALAMO (EL),MADRID,415061.00000000000,4456050.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1650.00000000000,CATEGORÍA I
11,"ALCALÁ NATURA 21 FINCA ""EL ENCÍN"" (ASEOS)","ALCALA NATURA 21, S.A.U.",ALCALA DE HENARES,MADRID,475737.00000000000,4485720.00000000000,FILTRO VERDE,URBANO O ASIMILABLE,<2.000 h-e,18250.00000000000,CATEGORÍA I
12,ALMACÉN MATERIALES Y OFICINAS SEMI S.A. (ASEOS),"SOCIEDAD ESPAÑOLA DE MONTAJES INDUSTRIALES, S.A.",ALCALA DE HENARES,MADRID,465068.00000000000,4486348.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1095.00000000000,CATEGORÍA I
13,BASE AEREA DE TORREJON,BASE AEREA DE TORREJON,ALCALA DE HENARES,MADRID,463841.00000000000,4481087.00000000000,ARROYO TOROTE,URBANO O ASIMILABLE,2.000-10.000 h-e,882000.00000000000,CATEGORÍA III
14,CEMENTERIO JARDIN ALCALA DE HENARES,"CEMENTERIO JARDIN ALCALA DE HENARES, S.A.",ALCALA DE HENARES,MADRID,469138.00000000000,4479263.00000000000,RÍO HENARES,URBANO O ASIMILABLE,<2.000 h-e,2738.00000000000,CATEGORÍA I
15,CENTRO DE RECURSOS FITOGENETICOS FINCA LA CANALEJA,INST. NACIONAL INVEST. Y TECN. AGRARIA Y ALIMENTARIA (INIA),ALCALA DE HENARES,MADRID,473869.00000000000,4484730.00000000000,RÍO HENARES,URBANO O ASIMILABLE,<2.000 h-e,13687.00000000000,CATEGORÍA I
16,CENTRO DE REHABILITACIÓN FINCA MIRADOR DE CASTILLA (ASEOS),ASOCIACIÓN RETO A LA ESPERANZA,ALCALA DE HENARES,MADRID,465705.00000000000,4479553.00000000000,RÍO HENARES,URBANO O ASIMILABLE,<2.000 h-e,3066.00000000000,CATEGORÍA I
17,CENTRO MUNICIPAL DE ARTESANIA (ALCALA DE HENARES),AYUNTAMIENTO DE ALCALA DE HENARES,ALCALA DE HENARES,MADRID,469305.00000000000,4479376.00000000000,RÍO HENARES,URBANO O ASIMILABLE,<2.000 h-e,6296.00000000000,CATEGORÍA I
18,CENTRO REHABILITACIÓN REMAR ESPAÑA (ASEOS),ASOCIACIÓN REMAR ESPAÑA,ALCALA DE HENARES,MADRID,469833.00000000000,4479693.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2920.00000000000,CATEGORÍA I
19,EDAR ALCALA ESTE,CANAL DE ISABEL II,ALCALA DE HENARES,MADRID,467664.00000000000,4479857.00000000000,RÍO HENARES,URBANO O ASIMILABLE,>10.000 h-e,9490000.00000000000,CATEGORÍA I
20,EDAR ALCALA OESTE,CANAL DE ISABEL II,ALCALA DE HENARES,MADRID,464891.00000000000,4479892.00000000000,RÍO HENARES,URBANO O ASIMILABLE,>10.000 h-e,27308570.00000000000,CATEGORÍA I
21,FÁBRICA PLÁSTICOS DYNAPLAST (ASEOS),"DYNAPLAST, S.L.U.",ALCALA DE HENARES,MADRID,464600.00000000000,4479700.00000000000,ARROYO TOROTE,URBANO O ASIMILABLE,<2.000 h-e,5110.00000000000,CATEGORÍA I
22,HNOS. RODRIGUEZ ALARCOS (NAVE-ALMACEN),"HERMANOS RODRIGUEZ ALARCOS, C.B.",ALCALA DE HENARES,MADRID,465677.00000000000,4485414.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,438.00000000000,CATEGORÍA I
23,HNOS. RODRIGUEZ ALARCOS (OFICINA),"HERMANOS RODRIGUEZ ALARCOS, C.B.",ALCALA DE HENARES,MADRID,465658.00000000000,4485464.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,51.00000000000,CATEGORÍA I
24,HNOS. RODRIGUEZ ALARCOS (VIV. UNIFAMILIAR),"HERMANOS RODRIGUEZ ALARCOS, C.B.",ALCALA DE HENARES,MADRID,465655.00000000000,4485455.00000000000,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,197.00000000000,CATEGORÍA I
